Kampagne,Kampagnentyp,Status,Tagesbudget EUR,Gebotsstrategie,Ausrichtung,Sprache,Werbezeit
Baustoffe WDVS,Suchnetzwerk,Pausiert,1.67,Manueller CPC,"Bezirk Perg, Urfahr-Umgebung, Freistadt, Linz-Land, Linz",Deutsch,Mo–Fr 06:00–18:00
Baustoffe Dämmung,Suchnetzwerk,Pausiert,1.67,Manueller CPC,"Bezirk Perg, Urfahr-Umgebung, Freistadt, Linz-Land, Linz",Deutsch,Mo–Fr 06:00–18:00
Baustoffe Kamin,Suchnetzwerk,Pausiert,1.67,Manueller CPC,"Bezirk Perg, Urfahr-Umgebung, Freistadt, Linz-Land, Linz",Deutsch,Mo–Fr 06:00–18:00
Baustoffe Kanal,Suchnetzwerk,Pausiert,1.67,Manueller CPC,"Bezirk Perg, Urfahr-Umgebung, Freistadt, Linz-Land, Linz",Deutsch,Mo–Fr 06:00–18:00
Baustoffe Mörtel,Suchnetzwerk,Pausiert,1.67,Manueller CPC,"Bezirk Perg, Urfahr-Umgebung, Freistadt, Linz-Land, Linz",Deutsch,Mo–Fr 06:00–18:00
Baustoffe Mauerwerk,Suchnetzwerk,Pausiert,1.67,Manueller CPC,"Bezirk Perg, Urfahr-Umgebung, Freistadt, Linz-Land, Linz",Deutsch,Mo–Fr 06:00–18:00
