Gruppe,Deckungsbeitrag EUR,max. Klick EUR,Werbekosten je Verkauf EUR,Grund
Kanal,77.60,1.55,125.00,Deckungsbeitrag trägt die Werbekosten beim oberen Marktklickpreis nicht — wartet auf eine gemessene Kaufquote (angenommen: 2.0 %)
Mörtel,92.51,1.85,125.00,Deckungsbeitrag trägt die Werbekosten beim oberen Marktklickpreis nicht — wartet auf eine gemessene Kaufquote (angenommen: 2.0 %)
Mauerwerk,70.34,1.41,125.00,Deckungsbeitrag trägt die Werbekosten beim oberen Marktklickpreis nicht — wartet auf eine gemessene Kaufquote (angenommen: 2.0 %)
