Kampagne,Anzeigengruppe,Status,Max CPC EUR,Referenzwarenkorb,Warenwert netto EUR,Deckungsbeitrag EUR
Baustoffe WDVS,WDVS,Pausiert,4.19,"100 m² Wärmedämmverbundsystem: Kleber, Gewebe, Dübel, Putzgrund, Oberputz",903.05,209.40
Baustoffe Dämmung,Dämmung,Pausiert,5.91,100 m² Perimeterdämmung XPS 80 mm,1395.00,295.42
Baustoffe Kamin,Kamin,Pausiert,8.22,"Ein Kaminzug, Fertigfuß bis Regenhaube",1893.71,410.94
Baustoffe Kanal,Kanal,Pausiert,1.38,30 lfm Kanal DN 100 mit Formteilen und Schacht,427.38,69.07
Baustoffe Mörtel,Mörtel,Pausiert,1.85,Eine Palette Mörtel,402.80,92.51
Baustoffe Mauerwerk,Mauerwerk,Pausiert,1.24,Eine Palette Planziegel,392.96,61.81
